"phase","parPri","parPub","trial","rat","phaseNum","nRating","stim","nRat","rat0comp","spq","excInh","ctrlType"
"ph1",5885072,"ka47kum2",8,-14,1,"ph1_8","I",8,14,85,"Exc","pre. (E & I)"
"ph1",5883134,"fgohtp2r",1,-54,1,"ph1_1","I",1,54,87,"Exc","pre. (E & I)"
"ph1",5883134,"fgohtp2r",2,-54,1,"ph1_1","E",1,-54,87,"Inh","pre. (E & I)"
"ph1",5883134,"fgohtp2r",3,-94,1,"ph1_2","E",2,-94,87,"Inh","pre. (E & I)"
"ph1",5883134,"fgohtp2r",4,-96,1,"ph1_2","I",2,96,87,"Exc","pre. (E & I)"
"ph1",5883134,"fgohtp2r",5,-58,1,"ph1_4","I",4,58,87,"Exc","pre. (E & I)"
"ph1",5883134,"fgohtp2r",6,46,1,"ph1_4","E",4,46,87,"Inh","pre. (E & I)"
"ph1",5883134,"fgohtp2r",7,-96,1,"ph1_8","I",8,96,87,"Exc","pre. (E & I)"
"ph1",5883134,"fgohtp2r",8,-56,1,"ph1_8","E",8,-56,87,"Inh","pre. (E & I)"
"ph1",5882635,"fsfnp5ef",1,32,1,"ph1_1","I",1,-32,117,"Exc","pre. (E & I)"
"ph1",5882635,"fsfnp5ef",2,-2,1,"ph1_1","E",1,-2,117,"Inh","pre. (E & I)"
"ph1",5882635,"fsfnp5ef",3,62,1,"ph1_2","E",2,62,117,"Inh","pre. (E & I)"
"ph1",5882635,"fsfnp5ef",4,32,1,"ph1_2","I",2,-32,117,"Exc","pre. (E & I)"
"ph1",5882635,"fsfnp5ef",5,50,1,"ph1_4","E",4,50,117,"Inh","pre. (E & I)"
"ph1",5882635,"fsfnp5ef",6,0,1,"ph1_4","I",4,0,117,"Exc","pre. (E & I)"
"ph1",5882635,"fsfnp5ef",7,64,1,"ph1_8","E",8,64,117,"Inh","pre. (E & I)"
"ph1",5882635,"fsfnp5ef",8,24,1,"ph1_8","I",8,-24,117,"Exc","pre. (E & I)"
"ph1",5882465,"2w394hko",1,36,1,"ph1_1","I",1,-36,142,"Exc","pre. (E & I)"
"ph1",5882465,"2w394hko",2,0,1,"ph1_1","E",1,0,142,"Inh","pre. (E & I)"
"ph1",5882465,"2w394hko",3,48,1,"ph1_2","E",2,48,142,"Inh","pre. (E & I)"
"ph1",5882465,"2w394hko",4,40,1,"ph1_2","I",2,-40,142,"Exc","pre. (E & I)"
"ph1",5882465,"2w394hko",5,32,1,"ph1_4","I",4,-32,142,"Exc","pre. (E & I)"
"ph1",5882465,"2w394hko",6,52,1,"ph1_4","E",4,52,142,"Inh","pre. (E & I)"
"ph1",5882465,"2w394hko",7,40,1,"ph1_8","I",8,-40,142,"Exc","pre. (E & I)"
"ph1",5882465,"2w394hko",8,28,1,"ph1_8","E",8,28,142,"Inh","pre. (E & I)"
"ph1",5882438,"9csm36ze",1,46,1,"ph1_1","I",1,-46,50,"Exc","pre. (E & I)"
